maori word,use instead of,related term,broader term
Hangarau mōhiohio, Hangarau whakaaturanga; Information Technology, Kōpae hikohiko; Rorohiko, Hangarau
Hangarua, Recycling, , Whanake taiao
Hangehange, Pāpahenga; Whangewhange, , Mauwha
Hāngī, Cooking (Earth ovens); Earth oven cooking; Earth ovens, , Tunu kai
Hapori," Family groups; Groups, Family", Āhuatanga pāpori, Tāngata
Hapori whānau, Society, Hapū; Iwi; Whānau, Hapori
Hapū, Clans, Ahi kā; Ako; Hapori whānau; Hapū (Wāhine); Ingoa; Tāngata whenua, Iwi
Hapū (Wāhine), Pregnant, Hapū; Hapūtanga, Wāhine
Hāpuku, Whāpuku; Gropers, , Ika moana hōhonu
Hapūtanga, Obstetrics, Hapū (Wāhine), Pūtaiao
Hara, Hapa; Taihara; Whaki; Crimes; Offences, Mahi whakaauraki; Mātauranga haratūtanga; Mauhere; Muru; Pūnaha ture taihara; Tāngata; Whakatau mauri; Whare herehere, Tikanga tuku iho + Ture
Harakeke," Flaxes, New Zealand; New Zealand flaxes", Aukaha; Toetoe, Whara
Harikoa, , , Koa
Hariru, , Hongi, Pōwhiri + Whakatau
Hau, Matangi; Winds, Haumātakataka; Tāwhirimātea, Āhua-o-te-rangi
Hauā, Intellectually disabled; Mentally disabled; Physically disabled, , Hauātanga
Hauātanga, Disabilities, , Take hauora
Hauāuru, West wind, , Hau
Hauhake, Harvest, Ahu māra; Kai, Ahu whenua
Hauhau, Hauhau militia; Hauhau movement; Hauhauism, Pai Mārire; Ringa kaha; Ringatū, Taua
Haumaru ā-waka," Safety, Vehicle; Vehicle safety", Waka, Haumarutanga
Haumaru ā-waka (Waka ama)," Safety, Waka ama; Waka ama safety", Waka ama, Haumaru ā-waka
Haumaru ahi," Fire safety; Safety, Fire", Ratonga ahi, Haumarutanga
Haumaru huarahi," Road safety; Safety, Road", , Haumarutanga
Haumaru wai," Safety, Water; Water safety", , Haumarutanga
Haumarutanga, Haumaru; Safety, , Hauora whānau
Haumarutanga ipurangi," Internet safety; Online safety; Safety, Internet", , Haumarutanga + Ipurangi
Haumata," Broadleaved snow tussocks; Tussocks, Broadleaved snow", , Toetoe
Haumātakataka, Āwhiowhio; Cyclones; Hurricanes; Tornadoes; Typhoons; Whirlwinds, Hau; Tāwhirimātea, Aituā (Taiao)
Haumi, , Kaunaroa, Waka
Haumie-Tiketike, , Hua rākau; Kai; Mahinga kai o te whenua; Pikopiko (Kai), Atua
Hauora, Health, ,
Hauora ā-waha, Hauora ā-niho; Dental care; Dental hygiene; Oral health, , Hauora tinana
Hauora hinengaro, Mental health, Mātauranga mate hinengaro; Pōuri; Pūkatokato, Ora
Hauora taihemahema, Reproductive health; Sexual health, Hauora tinana; Taihemahema, Hauora whānau
Hauora tinana, Physical health, Ārai whara; Hauora taihemahema; Kanikani; Matenga, Ora
Hauora wairua, Spiritual health, Ao wairua; Mākutu; Mauri; Moe; Pōuri; Pūkatokato; Tikanga; Tohunga kēhua, Ora
Hauora whānau, Family health, Atawhai; Manaakitanga; Tiakitanga; Tuku awhikiri; Tūrangawaewae; Whakapapa; Whenua (Wāhine), Ora
Haupoi, Hake; Hockey, , Hākinakina
Haurangitanga, Haurangi; Alcoholism; Drunkenness, , Kahungatanga
Hauraro, North wind, , Hau
Hautipua kaitā, Tipua; Giants, , Tāngata
Hauwaho, East wind, , Hau
Hawaiiki, Hawaiiki-nui; Hawaiiki-pamaomao; Hawaiiki-roa; Hawaiki; Rangiātea, Atua; Ōrokohanga o te ao; Pūrākau, Ao wairua
He Wakaputanga o te Rangatiratanga o Niu Tireni," He Whakaputanga o te Rangatiratanga o Niu Tireni; Wakaputanga o te Rangatiratanga o Niu Tireni, He; Whakaputanga o te Rangatiratanga o Niu Tireni, He; Declaration of Independence of the Northern Chiefs (1835)", , Tōrangapū
Hei matau, Adornments (Fish hooks); Jewellery (Fish hooks), Matau; Pounamu, Whakakai
Hei moenga," Arrangements, Sleeping; Sleeping arrangements", , Whāriki
Hei taupoki mō te hāngi, , , Whāriki
Hei tiki, Adornments (Figures); Jewellery (Figures), Pounamu, Whakakai
Heihei, Hens, Pīpī heihei; Tame heihei, Manu pāmu
Heke, Rafters, , Whare whakairo
Hekenga, Migration, Taipūwhenuatanga, Tāngata + Waka
Hekenga marangai, Rainfall, , Ua
Herehere, Hostages, , Tāngata
Herepuru, , , Waka
Hī hākinakina," Fishing (Sports); Fishing, Recreational; Recreational fishing", Taputapu hī ika, Hī ika + Whaiwhai
Hī ika," Fisheries; Fishing; Fishing methods; Methods, Fishing", Ika; Kaimoana; Ngā uri o Tangaroa; Tangaroa, Mahinga kai o te wai
Hieke," Capes, Rain; Rain capes", , Pureke
Hihi, Stitchbirds, , Manu ngahere
Hiko, Electricity, Pūngao hiko; Tāhiko; Whaitiri, Pūtaiao
Hikumutu, Solstice, Rā, Wāhanga o te tau
Hikutoto, , Utu, Taua
Hīmene, Hymns; Psalms, Paipera Tapu, Whakapono
Hīnaki," Eel pots, Wicker; Wicker eel pots", Kupenga; Raranga; Taputapu hī ika; Tāruke, Rama tuna
Hīnau, Whīnau, , Rākau whakaruruhau
Hine-pūkohu-rangi, Hinepūkohurangi, , Atua
Hine-Raumati, Hineraumati, Kapa haka; Rā; Raumati; Tāne-Rore; Wiri, Atua
Hine-Takurua, Hinetakurua, Kapa haka; Rā; Takurua; Tāne-Rore; Wiri, Atua
Hine-te-Uira, , Uira, Atua
Hineahuone, , Hinetītama; Kuia; Wāhine, Atua
Hinemoana, , Mahere moana; Pākuru; Pūmoana; Pūpakapaka; Pūtātara; Tangaroa; Tōkere, Atua
Hinengaro, Intellect; Mind; Thought, , Ao wairua + Hauora hinengaro
Hinenuitepō, Hinenui-te-Pō, Aituā (Taiao); Hinetītama; Matenga; Te Awa Atua, Atua
Hinepūtehue, , Hue puruhau; Hue puruwai; Kōauau ponga ihu; Ororuarangi; Poiāwhiowhio; Ponga ihu; Rarā, Hineraukatauri
Hineraukatauri, , Kōauau; Kōauau ponga ihu; Nguru; Ororuarangi; Ponga ihu; Pōrutu; Pūmotomoto; Pūtōrino; Rehu; Tānetuarōria (Taonga pūoro); Taonga pūoro, Atua
Hinetītama, Hine-tītama, Hineahuone; Hinenuitepō; Tānemāhuta; Te Awa Atua, Atua
Hinewaimaru," Tattoos, Chest", , Tā moko (Tā ngira) + Tā moko (Uhi)
Hinu kai, Kōtutu; Food preservation in fat; Food preservation in oil, , Rokiroki kai
Hīoi," Mints, New Zealand (Plants); New Zealand mints (Plants)", , Otaota
Hipi, , , Kararehe whāngote
Hītokotoko, Hopscotch, , Tākaro
Hoahoa pūweru," Hoahoa pūeru; Design, Fashion; Fashion design", Kākahu, Waka toi
Hoahoanga whare, Mahi hoahoa whare; Architecture, , Whare
Hōanga, Grindstones, , Kōhatu
Hoe, Paddling; Rowing, , Hākinakina + Waka
Hoeroa," Parāoa roa; Tata parāoa; Tōrōwai; Weapons, Whalebone; Whalebone weapons", , Rākau ā Tū
Hōia, Soldiers, Taua; Tūmatauenga, Pakanga + Toa
Hoiho," Penguins, Yellow-eyed; Yellow-eyed penguins", , Manu moana
Hōiho, Horses, , Kararehe whāngote
Hōkakatanga," Behaviour, Sexual; Identity, Sexual; Sexual behaviour; Sexual identity; Sexuality", Taihemahema; Takatāpuitanga; Tuakiri, Tāngata
Hokohoko, Retail trade, , Tauhokohoko
Hokohoko whenua," Hoko whenua; Land purchases; Land sales; Sales, Land", Mana whenua; Ture whenua; Whenua tautohetohe, Tauhokohoko + Whenua
Hongi, , Hariru, Pōwhiri + Tikanga tuku iho + Whakatau
Hongi kāpia, Glue sniffing, , Rongoā whakairangi
Hope, , , Waiata ā ringa
Hopu reo, Sound recordings, Kōrero; Waiata, Reo Māori
Horoeka, Hohoeka; Lancewoods, Houpara, Rākau whakaruruhau
Horokaka," Ngarangara; Ruerueke; Iceplants, New Zealand; New Zealand iceplants", , Otaota
Horopito," Puhikawa; Pepper trees; Trees, Pepper", , Mauwha
Houhere, Houhi; Lacebarks, , Rākau whakaruruhau
Houhere ongaonga," Lacebarks, Longleaved; Longleaved lacebarks", , Rākau whakaruruhau
Houhi puruhi," Houhipuruhi; Lacebarks, Narrowleaved; Narrowleaved lacebarks", , Rākau whakaruruhau
Houpara, Houmāpara; Houparapara, Horoeka, Rākau whakauru
Hua, Produce, Umanga, Ahumahi
Hua manu, Birds' eggs; Eggs (Food), Hua rākau; Hua whenua; Manu, Kai
Hua rākau, Berries; Fruit; Nuts, Ahu māra; Haumie-Tiketike; Hua manu; Hua whenua, Hua + Kai
Hua whenua, Vegetables, Ahu māra; Hua manu; Hua rākau; Taro, Hua + Kai
Huahou, Knots (Birds), , Manu ki tātahi
Huahua," Eels, Preserved; Muttonbirds, Preserved; Preserved eels; Preserved muttonbirds; Preserved raw fish; Preserved raw game", , Rokiroki kai
Huaki, Cloaks, , Kaitaka
Huangō, Asthma, , Tahumaero
Hue, Kōkakoware; Calabash gourds; Gourd plants; Gourds, Hue puruhau; Hue puruwai; Kōauau ponga ihu; Ponga ihu; Rarā, Hua whenua + Otaota
Hue puruhau," Gourd instruments; Instruments, Gourd", Hinepūtehue; Hue; Hue puruwai; Ororuarangi; Poiāwhiowhio; Ponga ihu; Rarā, Taonga pūoro
Hue puruwai," Gourd instruments; Instruments, Gourd", Hinepūtehue; Hue; Hue puruhau; Ororuarangi; Poiāwhiowhio; Ponga ihu; Rarā, Taonga pūoro
Hui, Meetings, , Rōpū Māori
Hui-ā-iwi," Gatherings, Tribal; Meetings, Tribal; Tribal gatherings; Tribal meetings", Hui-ā-whānau; Iwi, Hui
Hui-ā-whānau," Family gatherings; Family meetings; Gatherings, Family; Meetings, Family", Hui-ā-iwi; Whānau, Hui
Hui taurima, Taiopenga; Festivals, , Hui
Huia, , , Manu ngahere + Manu ngaro
Hukapapa, Haupapa; Frost, Awa kōpaka; Hukarere, Āhua-o-te-rangi
Hukarere, Huka; Snow, Awa kōpaka; Hukapapa, Āhua-o-te-rangi
Huke, Mining, , Ahumahi + Kohuke
Hunga mahi," Force, Labour; Labour force; Labour market; Market, Labour", , Āhuatanga ōhanga
Hunga mahi toi," Kāhui mahi toi; Ringa rehe; Ringa toi; Ringatoi; Artists; Artists, Tā moko; Carvers; Designers; Performance artists; Poets; Tā moko artists; Weavers", Kaihoahoa whare; Kapa haka; Rōpū Māori; Tā; Tāngata; Whakairo, Mahi toi
Hūnuku," Internal migration; Migration, Internal; Migration, Rural-urban; Rural-urban migration", Taipūwhenuatanga, Hekenga
Hūpē," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Hūrepo, Matuku (Manu); Bitterns, , Manu repo
Huringa āhuarangi," Change, Climate; Climate change", Te mahana haere o te ao, Āhuarangi
Hūruarangi, , Poiāwhiowhio; Porotiti; Pūrerehua (Taonga pūoro), Hineraukatauri
Huruhuru whenua," Ferns, Ground dwelling; Ground dwelling ferns", Aka; Mauwha; Otaota; Otaota hāwere; Pūkohu; Rākau whakakake; Rākau whakaruruhau; Rākau whakauru; Whara, Te Wao nui a Tāne
Ihe, Hangenge; Takeke; Garfishes, , Ika waitai
Ika, Fishes, Hī ika; Moana, Pūtaiao
Ika moana," Fishes, Marine; Marine fishes", Taniwha, Ika + Ngā uri o Tangaroa
Ika moana hōhonu," Deep-sea fishes; Fishes, Deep-sea", , Ika
Ika o ngā ngutu awa, , , Ika
Ika waimāori," Fishes, Freshwater; Freshwater fishes", , Ika
Ika waitai," Coastal fishes; Fishes, Coastal", , Ika
Īnanga, Inanga; Whitebait, , Ika o ngā ngutu awa + Ika waimāori
Inenga, Measurement; Ineka, Pāngarau, Pūtaiao
Ingarihi, English culture; English people, , Tauiwi
Ingoa," Tūmoko; Names (People); Names (Whare); Names, Personal; Personal names", Atua; Hapū; Iwi; Kararehe; Manu; Ngā uri o Tangaroa; Ngārara; Tāngata; Taunahanahatanga; Tūpuna; Waka; Whānau; Whare, Tuakiri
Inoi, Christian prayers; Prayers (Christian), Karakia, Whakapono
Io, , , Atua
Ipurangi, Internet, Rorohiko; Tauhokohoko-ā-ipurangi, Hangarau mōhiohio
Ira, Life principles, Ōrokohanga o te ao; Raweke ira tangata, Tāngata
Ira atua," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Ira tāne, Male gender, , Ira
Ira tangata, Genetics, Tāngata, Ira
Ira tangata (Tā moko)," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Ira wahine, Female gender, Kōtiro; Tamāhine; Wāhine, Ira
Iwi, Nation; Tribes, Hapori whānau; Hui-ā-iwi; Ingoa; Marau-ā-iwi; Noho-ā-iwi; Rangahau o te noho-ā-iwi; Reo-ā-iwi; Tāngata whenua; Tikanga-ā-iwi; Whenua, Waka (Whakapapa) + Whanaungatanga
Iwi taketake," Indigenous cultures; Indigenous people; People, Indigenous", Tāngata whenua; Tauiwi, Iwi
Iwihono," Tattoos, Arm", , Tā moko (Tā ngira) + Tā moko (Uhi)
Kahakaha, Kōkaha; Tākahakaha, Kōwharawhara; Toetoe, Otaota hāwere + Whara
Kaharoa," Drag nets; Nets, Drag", , Kupenga
Kahawai, , , Ika waitai
Kāhawai," Caspian terns; Terns, Caspian", , Manu ki tātahi
Kahikatea," Kahika; Katea; Pines, White; White pines", , Rākau whakakake
Kaho, , , Whare whakairo
Kāhu," Australasian harriers; Harriers, Australasian", , Manu ngahere
Kahu huruhuru," Cloaks, Feathered; Feathered cloaks", , Whatu kākahu
Kahu kiwi, , Kiwi, Kahu huruhuru
Kahu kuri," Cloaks, Dogskin; Dogskin cloaks", , Whatu kākahu
Kāhui o Mahutonga, Southern Cross, Mangōroa, Tātai whetū
Kahukura," Cloaks, Feathered; Feathered cloaks", , Whatu kākahu
Kahungatanga, Addictions, , Mate rerekē
Kahutoi," Cloaks, Protective; Protective cloaks", , Pureke
Kai, Food, Hākari; Hauhake; Haumie-Tiketike; Kai tōtika; Kete kohi kai; Mahinga kai o te whenua; Rongomatāne; Tangaroa, Pūtaiao
Kai paipa, Auahi; Kai hikareti; Kaipaipa; Momi hikareti; Momi paipa; Smoking; Tobacco use, Mate atewharowharo pukupuku, Kahungatanga
Kai tōtika, Kai whakakahā; Nutrition, Kai, Hauora tinana
Kai whakamara, Tutu, Toroī, Tunu kai
Kaiahi, , Kāraho, Waka
Kaiako, Kaiwhakaako; Kura mahita; Pouako; Coaches; Educators; Mentors; Teachers (Contemporary), Māmā; Māramatanga; Pāpā; Tohunga, Ako + Waihanga
Kaiārahi, Kaiwhakaatu; Guides, Rangatira, Ahumahi + Tāpoi
Kaihoahoa whare," Building designers; Designers, Building", Hunga mahi toi; Tohunga, Whare
Kāika nohoaka," Kāinga nohoanga; Campsites, Semi-permanent; Seasonal sites; Semi-permanent campsites; Sites, Seasonal", Mahinga kai o te wai; Mahinga kai o te whenua, Mana whenua
Kaikawe kōrero, Kaipātai; Kaipūrongorongo; Kairīpoata; Columnists; Journalists; Reporters, , Kaipāho + Kawe kōrero
Kaikōmako, Kahikōmako, , Rākau whakaruruhau
Kaikuti hipi," Shearers, Sheep; Sheep shearers", , Ahu whenua
Kaimahi (Ora), Health professionals, , Hauora
Kaimoana, Kai moana; Kōtare moana; Seafoods, Hī ika; Kete kohi kai moana; Kina; Kōura; Mahinga kai o te wai; Pāpaka; Pāua; Pipi; Tangaroa; Tio; Tipa, Kai
Kaioraora," Defiant songs; Songs, Defiant", Haka; Pātere,
Kaipāho, Kaiwhakapāoho; Broadcasters, Pouaka whakaata; Reo irirangi, Pāpāho
Kaipeita, Pū tuhi; Ringa rehu; Tohunga tā whakaahua; Painters (Artists), , Hunga mahi toi
Kaitaka, Cloaks, Tāniko, Whatu kākahu
Kaitaka paepaeroa, Cloaks, Tāniko, Kaitaka
Kaitākaro whutupōro," Players, Rugby; Rugby players", Ōpango, Whutupōro
Kaitangata, Cannibalism, Mana; Pakanga; Tapu; Tikanga, Ritenga + Tāngata
Kaitiaki (Whenua)," Kaitieki; Land trusts; Trustees of Māori land; Trusts, Land", Rōpū Māori; Rūnanga ā-iwi; Whenua, Kaitiakitanga + Mana whakahaere
Kaitiakitanga," Conservation of natural resources; Customary rights; Land stewardship; Rights, Customary; Stewardship, Land", Ahi kā; Mana whenua; Papakāinga; Taniwha; Whanake taiao; Whenua rāhui, Tikanga tuku iho
Kaitito waiata, Composers (Songs), Waiata koroua, Hunga mahi toi + Waiata
Kaitohutohu, Coaches (Sports); Sports coaches, , Hākinakina
Kaitōrangapū, Politicians, Kōwhiringa pōti; Mema Pāremata; Pāremata, Kāwanatanga
Kaitūao," Voluntary workers; Volunteers; Workers, Voluntary", , Mahi tūao
Kaituhi, Kaituhituhi; Authors; Novelists; Scribes; Writers, , Hunga mahi toi
Kaiuru, Participants; Sports players (Participants), Kaiwhakataetae, Taumāhekeheke
Kaiwaiata, Manu tīoriori; Singers; Vocalists, Kaiwhakatangi, Hunga mahi toi + Kaiwhakangahau + Waiata
Kaiwawao," Counsels, Defence; Defence counsels; Defence lawyers; Lawyers, Defence", , Rōia
Kaiwhakaari, Kaiwhakaatu; Kaiwhakatū; Actors; Performers, Kiriata; Pouaka whakaata; Reo irirangi, Hunga mahi toi + Kaiwhakangahau
Kaiwhakangahau, Entertainers; Performers, , Hunga mahi toi + Tāngata
Kaiwhakataetae, Competitors; Sports players (Competitors), Kaiuru, Whakataetae
Kaiwhakatangi, Musicians, Kaiwaiata, Hunga mahi toi
Kaiwhiu," Lawyers, Prosecution; Prosecution lawyers; Prosecutors", , Rōia
Kākā," Forest parrots; Parrots, Forest", , Manu ngahere
Kākā pōria, Adornments (Parrot leg rings); Jewellery (Parrot leg rings), , Whakakai
Kākahi," Freshwater mussels; Mussels, Freshwater", Mātaitai; Tohi mātaitai, Ngā uri o Tangaroa
Kākaho, , Tukutuku, Toetoe hūnangāmoho
Kākahu, Clothing, Hoahoa pūweru; Kapa haka, Raranga + Whatu
Kākāpō," Ground parrots; Parrots, Ground", , Manu ngahere
Kākari, Taumātakitahi, Ahi marae, Pakanga
Kākāriki, Parakeets, , Manu ngahere
Kakī," Black stilts; Stilts, Black", , Manu waimāori
Kāmahi, , , Rākau whakaruruhau
Kamupene whakanao taputapu, Manufacturers, , Hua
Kanae," Grey mullets; Mullets, Grey", , Ika o ngā ngutu awa
Kanga, Cursing; Swearing; Kana, , Kōrero
Kānga," Kānga pirau; Kānga wai; Kānga waru; Corn; Corn, Fermented; Fermented corn", , Hua whenua
Kanikani," Dance (Contemporary, Recreational)", Hauora tinana, Waka toi
Kanohi, Mata; Face; Konohi, , Tinana
Kānuka," Mānuka rauriki; Teatrees, White; White teatrees", Mānuka, Rākau whakaruruhau
Kaokao, Lattice work patterns, , Tukutuku
Kapa haka," Performing arts, Competitive", Haka; Hine-Raumati; Hine-Takurua; Hunga mahi toi; Kākahu; Piupiu; Poi; Reo Māori; Tāne-Rore; Waiata; Waiata ā ringa; Whakaraka, Waka toi
Kapa haka whakataetae a motu," Kapa haka competitions, National; National kapa haka competitions", Kapa haka whakataetae a rohe, Kapa haka + Whakataetae
Kapa haka whakataetae a rohe," Kapa haka competitions, Regional; Regional kapa haka competitions", Kapa haka whakataetae a motu, Kapa haka + Whakataetae
Kapeu, Adornments (Drop pendants); Jewellery (Drop pendants), Pounamu, Whakakai
Kāpō, Matakene; Matakerepō; Matapō; Blind; Visually impaired; Pohe, , Hauātanga
Kapokapowai, Kapowai; Dragonflies, , Aitanga pepeke
Kaponga," Ponga; Ferns, Punga; Punga ferns; Silverferns (Plants)", , Rākau whakaruruhau
Kapua, Clouds, , Āhua-o-te-rangi
Karahipi, Scholarships, Ako; Mātauranga; Tahua pūtea; Tauira, Pūtea
Kāraho, , Kaiahi, Waka
